DATE,ANNA426MFG
1990-01-01,36.1071659249435
1990-02-01,39.567740456529
1990-03-01,39.1818207287711
1990-04-01,39.30738516770489
1990-05-01,39.551499511764604
1990-06-01,39.4400050229641
1990-07-01,37.6421370076635
1990-08-01,38.4730041264256
1990-09-01,39.3893993173481
1990-10-01,35.017403549434
1990-11-01,35.151660687396
1990-12-01,38.0224150439143
1991-01-01,36.6517381180889
1991-02-01,36.8437049222661
1991-03-01,36.717510860994295
1991-04-01,34.1253296274334
1991-05-01,36.3618741326022
1991-06-01,36.537532219748705
1991-07-01,35.6746990273655
1991-08-01,36.35513708284
1991-09-01,36.742504402174895
1991-10-01,37.2030650322145
1991-11-01,36.6557349270357
1991-12-01,35.7499772465291
1992-01-01,35.450286433577496
1992-02-01,35.2169187480007
1992-03-01,35.6477938448415
1992-04-01,35.447030081676004
1992-05-01,34.8865177531455
1992-06-01,34.266864455097696
1992-07-01,34.2124484533077
1992-08-01,33.4074348675626
1992-09-01,33.860265673303196
1992-10-01,34.0458381456908
1992-11-01,33.815050068195
1992-12-01,33.9048121163503
1993-01-01,34.0389058059683
1993-02-01,34.2013626788903
1993-03-01,32.9831006760145
1993-04-01,32.148037845430004
1993-05-01,32.013593466977
1993-06-01,31.938629237733398
1993-07-01,30.6749901933606
1993-08-01,30.8805482925032
1993-09-01,30.094259976924
1993-10-01,29.909493848180198
1993-11-01,29.824803968629602
1993-12-01,29.955739435911603
1994-01-01,30.232930376509103
1994-02-01,30.767102471084105
1994-03-01,30.605627177333698
1994-04-01,31.318161889046504
1994-05-01,31.3559308164891
1994-06-01,31.4889557424127
1994-07-01,32.0184213622124
1994-08-01,32.801621080334
1994-09-01,32.0132110932304
1994-10-01,31.6852889052209
1994-11-01,31.5267564803516
1994-12-01,31.821105168645502
1995-01-01,32.0835069122874
1995-02-01,31.7205486531471
1995-03-01,31.640540472477998
1995-04-01,31.5632746572572
1995-05-01,31.5876085256005
1995-06-01,31.249308091827302
1995-07-01,31.6868464003518
1995-08-01,31.29034596425
1995-09-01,30.960321989900102
1995-10-01,31.3209862218018
1995-11-01,31.512114799602198
1995-12-01,31.0695904859647
1996-01-01,29.8831787885157
1996-02-01,30.561491004218997
1996-03-01,30.727135476792604
1996-04-01,30.9442384760875
1996-05-01,30.7367416503915
1996-06-01,30.8031445979167
1996-07-01,30.9137320158985
1996-08-01,31.350601250788102
1996-09-01,30.9499292724036
1996-10-01,30.911522024811898
1996-11-01,30.824739581055898
1996-12-01,30.7076765148032
1997-01-01,30.4587830539186
1997-02-01,30.716390005707503
1997-03-01,30.8026165801415
1997-04-01,30.179834043208604
1997-05-01,30.4742487451878
1997-06-01,30.6311631411406
1997-07-01,30.840551516079998
1997-08-01,30.6932438090458
1997-09-01,30.8164907874373
1997-10-01,30.654020011075897
1997-11-01,30.9089404347338
1997-12-01,30.7050203546836
1998-01-01,31.6404462684428
1998-02-01,31.6640599313201
1998-03-01,31.6609437445114
1998-04-01,32.3551472300953
1998-05-01,32.296153348561695
1998-06-01,32.2136747108493
1998-07-01,31.5668700342853
1998-08-01,32.1854619356484
1998-09-01,32.273031721001
1998-10-01,32.4777845603089
1998-11-01,32.432197290879
1998-12-01,32.3849860545031
1999-01-01,33.0226224872005
1999-02-01,33.0289939305066
1999-03-01,33.1661644586229
1999-04-01,32.6843154530473
1999-05-01,32.4779957800884
1999-06-01,32.389430417877605
1999-07-01,32.7453918119227
1999-08-01,32.544568884141505
1999-09-01,32.4482376216039
1999-10-01,31.958566412323798
1999-11-01,31.615749270101105
1999-12-01,31.671098618941397
2000-01-01,31.0714004892748
2000-02-01,31.421473717326304
2000-03-01,31.0468625939854
2000-04-01,31.1214507053967
2000-05-01,31.0398517253264
2000-06-01,31.2828584659007
2000-07-01,30.8348323686563
2000-08-01,30.7453436821006
2000-09-01,29.5470318276515
2000-10-01,30.3173763311033
2000-11-01,30.0542728371874
2000-12-01,30.074067273459303
2001-01-01,29.5061306777068
2001-02-01,29.137521128839197
2001-03-01,28.9432481291273
2001-04-01,28.818902900451
2001-05-01,28.6768313984382
2001-06-01,28.4638554933506
2001-07-01,28.045399509404803
2001-08-01,28.3736483328507
2001-09-01,28.178695831346197
2001-10-01,27.8526864092553
2001-11-01,28.096924084444105
2001-12-01,28.217818152423895
2002-01-01,26.9106208726276
2002-02-01,27.045144137343396
2002-03-01,26.9011038410319
2002-04-01,26.6974622901122
2002-05-01,26.7144370208858
2002-06-01,26.457663603364395
2002-07-01,26.7729595389877
2002-08-01,26.4120771148558
2002-09-01,26.005395467031605
2002-10-01,26.712023326135302
2002-11-01,26.5507453699905
2002-12-01,26.2874439036005
2003-01-01,26.165724383866202
2003-02-01,26.0357183826876
2003-03-01,25.983707607600497
2003-04-01,25.531027332126698
2003-05-01,25.4698259087376
2003-06-01,25.2617160533467
2003-07-01,21.6966636054378
2003-08-01,24.550877155076197
2003-09-01,24.3249036635312
2003-10-01,24.172994599067604
2003-11-01,24.0343936952485
2003-12-01,24.0748447479461
2004-01-01,24.1006568607469
2004-02-01,24.0098361783778
2004-03-01,23.9477788834228
2004-04-01,24.5549611132791
2004-05-01,23.970028938912
2004-06-01,23.7787180425804
2004-07-01,21.0107310075362
2004-08-01,23.459311355620102
2004-09-01,23.3147423326801
2004-10-01,23.271488701933304
2004-11-01,22.9393334671387
2004-12-01,22.727004170960697
2005-01-01,22.4355884188478
2005-02-01,22.8731723363495
2005-03-01,22.9595564363951
2005-04-01,22.777408858909197
2005-05-01,22.9037844386585
2005-06-01,22.3861319758918
